Coal or Metal Mine,Commodity,ID,Operator,State,Status,Type,minename
M ,Construction Sand and Gravel ,2501216,Iske Dirt Sand & Gravel  ,NE,Abandoned ,Surface,Iske Dirt Sand & Gravel
M ,Construction Sand and Gravel ,3200965,J M Lynn Dirtwork  ,ND,Abandoned ,Surface,Johnson Pit
M ,Construction Sand and Gravel ,2901371,Jake Diel Dirt & Paving Inc  ,NM,Abandoned ,Surface,Diel Screening Plant
M ,Construction Sand and Gravel ,2901544,Jake Diel Dirt & Paving Inc  ,NM,Abandoned ,Surface,Cortez Pit
M ,"Crushed, Broken Stone NEC ",2901709,Jake Diel Dirt & Paving Inc  ,NM,Abandoned ,Surface,Skaggs Pit
M ,"Crushed, Broken Limestone NEC ",4102355,Jake Diel Dirt & Paving Inc  ,TX,Abandoned ,Surface,Jacobson Pit
M ,"Crushed, Broken Limestone NEC ",4102420,Jake Diel Dirt & Paving Inc  ,TX,Abandoned ,Surface,Black Pit
M ,"Crushed, Broken Stone NEC ",4102869,Jake Diel Dirt & Paving Inc  ,TX,Abandoned ,Surface,Bailey Pit
M ,"Crushed, Broken Limestone NEC ",4102951,Jake Diel Dirt & Paving Inc  ,TX,Abandoned ,Surface,Toscosa Pit
M ,Construction Sand and Gravel ,4102958,Jake Diel Dirt & Paving Inc  ,TX,Abandoned ,Surface,Four Way Pit
M ,"Crushed, Broken Stone NEC ",4104876,"Jarratt Dirt Work and Paving, Inc.  ",TX,Abandoned ,Surface,Portable Screening Plant #1
M ,Construction Sand and Gravel ,3003502,"JBS DIRT, INC.  ",NY,Abandoned ,Surface,SHAMROCK PIT
M ,"Crushed, Broken Limestone NEC ",4103258,Jones Bros Dirt & Paving Contractors Inc  ,TX,Abandoned ,Surface,Barstow Pit
M ,Construction Sand and Gravel ,3901432,Krueger Brothers Gravel & Dirt  ,SD,Intermittent ,Surface,PORTABLE SCREENER
M ,Construction Sand and Gravel ,2103556,"Krueger Dirt Werx, Inc.  ",MN,Abandoned ,Surface,Krueger Pit
M ,Construction Sand and Gravel ,1601250,L I P Dirt & Trucking  ,LA,Abandoned ,Surface,L I P Dirt & Trucking
M ,Construction Sand and Gravel ,1600908,Lee'S Dirt Pit Inc  ,LA,Abandoned ,Surface,Lee'S Dirt Pit
M ,Construction Sand and Gravel ,1600953,Little-G-Dirt Pit  ,LA,Abandoned ,Surface,Little-G-Dirt Pit
M ,"Crushed, Broken Stone NEC ",4104185,Lone Star Dirt & Paving  ,TX,Abandoned ,Surface,Lone Star Crusher
M ,Construction Sand and Gravel ,2901536,Loyd'S Dirt & Gravel  ,NM,Abandoned ,Surface,LOYD'S PIT
M ,Construction Sand and Gravel ,3609624,M R Dirt  ,PA,Temporarily Idled ,Surface,Forbes Pit
M ,"Sand, Common ",3800709,M.C. Dirt LLC  ,SC,Abandoned ,Surface,Middleton Site
M ,Dimension Stone NEC ,3609931,M.R. Dirt Inc.  ,PA,Intermittent ,Surface,Camptown Quarry
M ,Construction Sand and Gravel ,1601257,Maurice Dirt & Sand  ,LA,Abandoned ,Surface,Maurice Dirt And Sand
M ,Construction Sand and Gravel ,0801275,Mc Dirt Industries Inc  ,FL,Abandoned ,Surface,BELLVIEW
M ,Construction Sand and Gravel ,1601379,Mike Duhon Dirt Pit  ,LA,Abandoned ,Surface,REDS PIT
M ,Construction Sand and Gravel ,1601380,Mike Duhon Dirt Pit  ,LA,Abandoned ,Surface,WAINWRIGHT PIT
M ,Construction Sand and Gravel ,1601381,Mike Duhon Dirt Pit  ,LA,Abandoned ,Surface,COX PIT
M ,Construction Sand and Gravel ,1601134,Moss Dirt Company  ,LA,Abandoned ,Surface,Cook Pit
M ,Construction Sand and Gravel ,1601165,Moss Dirt Company  ,LA,Abandoned ,Surface,Moss Dirt Pit
M ,Construction Sand and Gravel ,3901042,Muckler Fill Dirt & Top Soil  ,SD,Abandoned ,Surface,Hoffman Pit
M ,Construction Sand and Gravel ,1601194,Nelson & Sons Dirt Haulers Inc  ,LA,Abandoned ,Surface,Nelson & Sons Dirt Haulers Incorporated
M ,Construction Sand and Gravel ,4104054,Nelson'S Dirt Pit  ,TX,Abandoned ,Surface,NELSON'S DIRT PIT
M ,Construction Sand and Gravel ,4801674,Nicholson Dirt Contracting  ,WY,Abandoned ,Surface,Eagle One
M ,Construction Sand and Gravel ,2402474,Nitty Gritty Dirt LLC  ,MT,Abandoned ,Surface,Rolling Glen Ranch Sand and Gravel
M ,Construction Sand and Gravel ,1600920,Northest Louisiana Dirt Contractors  ,LA,Abandoned ,Surface,Calhoun And Mcguire Pit
M ,"Crushed, Broken Limestone NEC ",4102955,Orvil Carter Dirt Contractor Inc  ,TX,Abandoned ,Surface,Ed Meek Pit
M ,"Crushed, Broken Limestone NEC ",4103107,Orvil Carter Dirt Contractor Inc  ,TX,Abandoned ,Surface,Seitz Pit
C ,Coal (Bituminous) ,1512530,P B Dirt Movers Inc  ,KY,Abandoned ,Surface,No 1 Surface
C ,Coal (Bituminous) ,1515619,P B Dirt Movers Inc  ,KY,Abandoned ,Surface,No 5 Surface
C ,Coal (Bituminous) ,1518318,P B Dirt Movers Inc  ,KY,Abandoned ,Surface,Biggs No 1
C ,Coal (Bituminous) ,4405366,P B Dirt Movers Inc  ,VA,Abandoned ,Surface,No 1 Strip
C ,Coal (Bituminous) ,4407196,P B Dirt Movers Inc  ,VA,Abandoned ,Surface,No 2
C ,Coal (Bituminous) ,1519685,P B Dirt Movers Inc.  ,KY,Abandoned ,Surface,Fedscreek Refuse Pile
C ,Coal (Bituminous) ,1519799,"P B Dirt Movers, Inc  ",KY,Active ,Surface,Fedscreek Surface
C , ,4407379,"P B Dirt Movers, Inc.  ",VA,New Mine ,Surface,No. 3
C ,Coal (Bituminous) ,4407003,P.B. Dirtmovers  ,VA,Abandoned* ,Underground,No 2
M ,Construction Sand and Gravel ,2602570,PAPA'S DIRT WORKES  ,NV,Abandoned ,Surface,COUNTY FAIRE TEMP GRAVEL PIT
M ,Construction Sand and Gravel ,2402503,Paydirt Exc Inc  ,MT,Abandoned ,Surface,Robison Mine
C ,Coal (Bituminous) ,4407296,PB Dirt Movers  ,VA,Temporarily Idled ,Underground,Mine No. 6
C ,Coal (Bituminous) ,1519273,PB Dirt Movers Inc.  ,KY,Abandoned ,Surface,Blair Face Up
C ,Coal (Bituminous) ,4407270,"PB Dirt Movers, Inc  ",VA,Abandoned ,Surface,Surface Mine No. 1
M ,Construction Sand and Gravel ,4102682,Peveto Dirt Pit  ,TX,Abandoned ,Surface,Peveto Pit
M ,Construction Sand and Gravel ,0801259,"Phil-Dirt Industries, Inc  ",FL,Abandoned ,Surface,PIT #1
M ,Construction Sand and Gravel ,0203332,"Prescott Dirt, LLC  ",AZ,Intermittent ,Surface,Sandretto Drive
M ,"Crushed, Broken Limestone NEC ",0302015,R & R Dirtworks  ,AR,Abandoned ,Surface,Martins Quarry
M ,Construction Sand and Gravel ,2901986,R D Blankenship Dirt Work LLC  ,NM,Active ,Surface,R D BLANKENSHIP DIRT WORK
M ,Construction Sand and Gravel ,1601127,Reeves Dirt Pit Inc  ,LA,Abandoned ,Surface,Reeves Dirt Pit Incorporated
M ,"Sand, Common ",4105017,River Bottom Dirt  ,TX,Abandoned ,Surface,River Bottom Dirt
M ,Construction Sand and Gravel ,1600986,Roe'S Dirt Pit  ,LA,Abandoned ,Surface,Roe'S Dirt Pit
M ,Construction Sand and Gravel ,4103324,Russell Trest-Dirt Contractor  ,TX,Abandoned ,Surface,Pine Ridge Pit
M ,Construction Sand and Gravel ,4202013,S J Stahr Dirt Movers Inc  ,UT,Abandoned ,Surface,Stahr Portable Crusher
M ,"Sand, Common ",0801417,"Sand & Dirt, Inc  ",FL,Active ,Surface,Molino Pit
M ,"Sand, Common ",0801371,"Sand and Dirt, Inc.  ",FL,Abandoned ,Surface,CENTURY PIT
M ,Construction Sand and Gravel ,2402115,"Sierra Rock & Dirt, Inc.  ",MT,Abandoned ,Surface,Sierra Rock & Dirt Inc
M ,Construction Sand and Gravel ,4300748,Simpson Dirtworx llc  ,VT,Abandoned ,Surface,Simpson Sand and Gravel
M ,Construction Sand and Gravel ,4300768,SIMPSON DIRTWORX LLC  ,VT,Intermittent ,Surface,Pettibone Jaw Crusher
M ,Construction Sand and Gravel ,4300776,SIMPSON DIRTWORX LLC  ,VT,Intermittent ,Surface,Chieftan 1400
M ,Construction Sand and Gravel ,0103209,Slay'S Dirt Hauling  ,AL,Abandoned ,Surface,SLAY PIT
M ,Construction Sand and Gravel ,1601159,Southside Dirt Company  ,LA,Abandoned ,Surface,Southside Dirt Pit
M ,Construction Sand and Gravel ,2302283,"Spry's Dirt & Gravel, Inc.  ",MO,Intermittent ,Surface,Mike's Money Pit
M ,Construction Sand and Gravel ,4102586,Stewart Dirt Pit  ,TX,Abandoned ,Surface,Stewart Pit
M ,"Crushed, Broken Stone NEC ",4104475,"Stewart Dirt Work, Inc.  ",TX,Abandoned ,Surface,Stewart Dirt Work Inc - Hanna Pit
M ,Construction Sand and Gravel ,3800617,Sweat'S Dirt Hauling Inc  ,SC,Abandoned ,Surface,Highway 642 Dirt Pit
M ,Construction Sand and Gravel ,1601234,Toler Roe Dirt Pit  ,LA,Abandoned ,Surface,Toler Roe Dirt Pit
M ,Construction Sand and Gravel ,4104648,"Tres Palacios Dirt, Sand & Gravel  ",TX,Abandoned ,Surface,La Calichera Pit
M ,Construction Sand and Gravel ,2103518,Vogt Dirt Service  ,MN,Intermittent ,Surface,Crusher
M ,Construction Sand and Gravel ,1601292,Watson Dirt Sand & Gravel Pit Inc  ,LA,Abandoned ,Surface,ADDISON LEASE
M ,Construction Sand and Gravel ,4103429,Y B Dirt & Loam  ,TX,Abandoned ,Surface,Y B Mine
M ,Construction Sand and Gravel ,4103264,Yarbrough Dirt Pit Inc  ,TX,Abandoned ,Surface,Yarbrough Dirt Pit #1
